t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756423512360,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,unknown,false
1756423512411,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,unknown,false
1756423512462,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,unknown,false
1756423512513,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,unknown,false
1756423512565,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,unknown,false
1756423512615,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,grounded,false
1756423512666,853.286,-241.034,85.640,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,83.16,0.000,0.99999994,stall/land,grounded,false
1756423512716,853.301,-240.665,85.697,0.087,2.187,0.337,2.19,0.00,2.19,2.19,0.1,86.2,0.0,86.2,86.1,2.72,85.92,0.000,0.99999994,unknown,grounded,false
1756423512767,853.332,-240.299,85.762,0.248,3.701,0.620,3.71,0.00,3.71,3.71,0.1,146.1,0.0,146.1,146.0,2.78,85.08,0.000,1,unknown,grounded,false
1756423512818,853.364,-239.932,85.827,0.360,4.762,0.818,4.78,0.00,4.78,4.78,0.1,188.0,0.0,188.0,188.0,2.33,84.96,0.000,1,unknown,grounded,false
