t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756424276657,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,unknown,false
1756424276708,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,unknown,false
1756424276759,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,unknown,false
1756424276810,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,unknown,false
1756424276862,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,unknown,false
1756424276913,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424276963,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277014,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277064,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277115,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277166,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277216,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277267,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277317,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277368,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277418,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277469,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277520,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277570,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277621,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277672,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277722,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277773,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277823,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277874,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277925,835.745,-256.526,82.057,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,0.0,-0.0,0.0,-0.0,0.00,-104.51,0.000,1,stall/land,grounded,false
1756424277975,835.707,-256.897,82.047,-0.226,-2.199,-0.056,2.21,0.06,2.21,2.21,-0.0,87.0,2.2,87.1,87.0,-0.00,-95.87,0.000,0.99999994,unknown,grounded,false
1756424278026,835.668,-257.268,82.038,-0.385,-3.744,-0.096,3.76,0.10,3.76,3.76,-0.0,148.2,3.8,148.2,148.2,-0.00,-95.87,0.000,0.99999994,unknown,grounded,false
1756424278076,835.630,-257.640,82.028,-0.496,-4.822,-0.124,4.85,0.12,4.85,4.85,-0.0,190.8,4.9,190.9,190.8,-0.01,-95.87,0.000,0.99999994,unknown,grounded,false
1756424278127,835.554,-258.382,82.009,-0.800,-7.774,-0.199,7.82,0.20,7.82,7.82,0.0,307.7,7.8,307.8,307.7,0.00,-95.87,0.000,0.99999994,unknown,grounded,false
1756424278178,835.516,-258.754,82.000,-0.786,-7.640,-0.196,7.68,0.20,7.68,7.68,-0.0,302.4,7.7,302.5,302.4,-0.00,-95.87,0.000,0.99999994,unknown,grounded,false
1756424278228,835.477,-259.125,81.990,-0.777,-7.553,-0.194,7.59,0.19,7.60,7.59,-0.0,298.9,7.6,299.0,298.9,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278279,835.439,-259.496,81.981,-0.771,-7.490,-0.192,7.53,0.19,7.53,7.53,-0.0,296.5,7.6,296.5,296.5,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278329,835.363,-260.239,81.962,-0.993,-9.648,-0.247,9.70,0.25,9.70,9.70,-0.0,381.9,9.7,382.0,381.9,-0.01,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278380,835.325,-260.610,81.952,-0.921,-8.953,-0.230,9.00,0.23,9.00,9.00,-0.0,354.4,9.0,354.5,354.4,-0.01,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278431,835.286,-260.981,81.943,-0.871,-8.467,-0.217,8.51,0.22,8.51,8.51,0.0,335.1,8.5,335.2,335.1,0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278481,835.210,-261.724,81.924,-1.065,-10.351,-0.265,10.41,0.27,10.41,10.41,-0.0,409.7,10.4,409.8,409.7,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278532,835.172,-262.095,81.914,-0.972,-9.445,-0.242,9.50,0.24,9.50,9.50,-0.0,373.8,9.5,373.9,373.8,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278582,835.134,-262.467,81.905,-0.907,-8.813,-0.226,8.86,0.23,8.86,8.86,-0.0,348.8,8.9,348.9,348.8,-0.01,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278633,835.095,-262.838,81.895,-0.861,-8.372,-0.215,8.42,0.21,8.42,8.42,-0.0,331.3,8.4,331.4,331.3,-0.01,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278683,835.019,-263.581,81.876,-1.056,-10.262,-0.263,10.32,0.26,10.32,10.32,0.0,406.2,10.4,406.3,406.2,0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278734,834.981,-263.952,81.866,-0.965,-9.385,-0.241,9.43,0.24,9.44,9.43,-0.0,371.4,9.5,371.6,371.4,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278785,834.943,-264.323,81.857,-0.902,-8.769,-0.225,8.82,0.22,8.82,8.82,-0.0,347.1,8.9,347.2,347.1,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278835,834.904,-264.695,81.847,-0.858,-8.340,-0.214,8.38,0.21,8.39,8.38,-0.0,330.1,8.4,330.2,330.1,-0.00,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278886,834.828,-265.437,81.828,-1.054,-10.243,-0.267,10.30,0.27,10.30,10.30,-0.0,405.4,10.5,405.5,405.4,-0.01,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278936,834.790,-265.808,81.818,-0.964,-9.372,-0.247,9.42,0.25,9.42,9.42,-0.0,370.9,9.7,371.1,370.9,-0.01,-95.87,0.000,0.99999994,unknown,unknown,false
1756424278987,834.752,-266.180,81.808,-0.900,-8.747,-0.231,8.79,0.23,8.80,8.79,0.0,346.2,9.1,346.3,346.2,0.00,-95.87,0.000,0.99999994,unknown,unknown,false
