t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756423363206,846.997,-216.270,78.645,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,88.41,0.000,0.99999994,stall/land,unknown,false
1756423363257,847.005,-215.972,78.531,0.048,1.754,-0.673,1.75,0.67,1.88,1.75,0.0,69.1,26.5,74.0,69.1,0.01,88.41,0.000,0.99999994,unknown,unknown,false
1756423363309,847.022,-215.374,78.302,0.130,4.701,-1.803,4.70,1.80,5.04,4.70,0.0,185.2,71.0,198.3,185.2,0.01,88.41,0.000,0.99999994,unknown,unknown,false
1756423363360,847.030,-215.076,78.187,0.139,5.045,-1.935,5.05,1.94,5.41,5.05,0.0,198.7,76.2,212.8,198.7,0.02,88.41,0.000,0.99999994,unknown,unknown,false
1756423363411,847.038,-214.777,78.073,0.145,5.269,-2.021,5.27,2.02,5.64,5.27,0.0,207.5,79.6,222.2,207.5,0.02,88.41,0.000,0.99999994,unknown,unknown,false
1756423363462,847.056,-214.138,77.844,0.206,7.472,-2.771,7.48,2.77,7.97,7.48,0.0,294.3,109.1,313.9,294.3,0.02,88.41,0.000,1,neutral,unknown,false
1756423363513,847.066,-213.769,77.729,0.205,7.416,-2.618,7.42,2.62,7.87,7.42,0.0,292.1,103.1,309.7,292.1,0.01,88.41,0.000,1,neutral,unknown,false
1756423363563,847.077,-213.385,77.615,0.206,7.468,-2.512,7.47,2.51,7.88,7.47,0.0,294.1,98.9,310.3,294.1,0.02,88.41,0.000,1,neutral,unknown,false
1756423363614,847.088,-212.994,77.500,0.209,7.545,-2.437,7.55,2.44,7.93,7.55,0.0,297.2,96.0,312.3,297.2,0.00,88.41,0.000,1,neutral,unknown,false
1756423363664,847.110,-212.205,77.271,0.275,9.961,-3.065,9.96,3.07,10.43,9.96,0.0,392.3,120.7,410.5,392.3,0.01,88.41,0.000,1,forward,unknown,false
