t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756423759128,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,unknown,false
1756423759178,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,unknown,false
1756423759230,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,unknown,false
1756423759281,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,unknown,false
1756423759332,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,unknown,false
1756423759383,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759433,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759484,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759534,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759585,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759635,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759686,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759737,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759787,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759838,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759888,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759939,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423759990,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760040,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760091,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760141,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760192,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760243,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760293,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760344,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760394,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760445,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760496,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
1756423760546,847.017,-214.592,48.585,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,121.73,0.000,1,stall/land,grounded,false
