t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,cv_vdown,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756425405352,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405381,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405410,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405439,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405468,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405497,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405526,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405555,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405584,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405613,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405642,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.80,0.00,1.000,stall/land,grounded,false
1756425405671,843.893,-242.181,83.990,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.00,0.000,0.0,-0.0,0.0,0.0,0.0,79.81,0.00,1.000,stall/land,grounded,false
1756425405700,843.959,-241.815,84.030,0.684,3.799,0.423,3.86,0.00,3.86,3.86,-0.00,0.000,152.0,0.0,152.0,152.0,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405729,844.025,-241.450,84.071,1.158,6.441,0.718,6.54,0.00,6.54,6.54,-0.00,0.000,257.7,0.0,257.7,257.7,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405758,844.090,-241.085,84.112,1.489,8.282,0.923,8.42,0.00,8.42,8.42,-0.00,0.000,331.3,0.0,331.3,331.3,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405787,844.156,-240.719,84.153,1.721,9.569,1.067,9.72,0.00,9.72,9.72,-0.00,0.000,382.8,0.0,382.8,382.8,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405816,844.156,-240.719,84.153,1.204,6.698,0.747,6.81,0.00,6.81,6.81,-0.00,0.000,267.9,0.0,267.9,267.9,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405845,844.222,-240.354,84.540,1.521,8.459,4.524,8.60,0.00,8.60,8.60,-0.00,0.000,338.4,0.0,338.4,338.4,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405874,844.287,-239.989,84.875,1.743,9.693,6.624,9.85,0.00,9.85,9.85,-0.00,0.000,387.8,0.0,387.8,387.8,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405903,844.287,-239.989,84.875,1.220,6.785,4.637,6.89,0.00,6.89,6.89,-0.00,0.000,271.4,0.0,271.4,271.4,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405932,844.353,-239.623,85.157,1.533,8.525,6.157,8.66,0.00,8.66,8.66,-0.00,0.000,341.0,0.0,341.0,341.0,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405962,844.419,-239.257,85.386,1.752,9.747,6.676,9.90,0.00,9.90,9.90,-0.00,0.000,389.9,0.0,389.9,389.9,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425405991,844.485,-238.890,85.563,1.907,10.608,6.494,10.78,0.00,10.78,10.78,0.00,0.000,424.3,0.0,424.3,424.3,0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406020,844.485,-238.890,85.563,1.335,7.425,4.546,7.54,0.00,7.54,7.54,0.00,0.000,297.0,0.0,297.0,297.0,0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406049,844.551,-238.524,85.686,1.616,8.989,4.459,9.13,0.00,9.13,9.13,-0.00,0.000,359.6,0.0,359.6,359.6,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406078,844.617,-238.156,85.757,1.812,10.084,3.851,10.25,0.00,10.25,10.25,0.00,0.000,403.4,0.0,403.4,403.4,0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406107,844.683,-237.789,85.775,1.951,10.853,2.880,11.03,0.00,11.03,11.03,-0.00,0.000,434.1,0.0,434.1,434.1,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406136,844.683,-237.789,85.775,1.366,7.597,2.016,7.72,0.00,7.72,7.72,-0.00,0.000,303.9,0.0,303.9,303.9,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406165,844.749,-237.421,85.740,1.640,9.118,1.050,9.26,0.00,9.26,9.26,-0.00,0.000,364.7,0.0,364.7,364.7,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406194,844.815,-237.054,85.652,1.830,10.179,-0.172,10.34,0.17,10.34,10.34,-0.00,5.413,407.2,6.8,407.2,407.2,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406223,844.815,-237.054,85.652,1.281,7.125,-0.121,7.24,0.12,7.24,7.24,-0.00,3.858,285.0,4.7,285.1,285.0,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406252,844.881,-236.686,85.539,1.579,8.780,-1.253,8.92,1.25,9.01,8.92,-0.00,4.454,351.2,49.3,354.7,351.2,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406281,844.950,-236.306,85.424,1.811,10.074,-2.060,10.24,2.06,10.44,10.24,-0.00,3.609,403.0,81.1,411.0,403.0,-0.0,79.81,0.00,1.000,forward,running_slope,false
1756425406310,844.950,-236.306,85.424,1.268,7.052,-1.442,7.16,1.44,7.31,7.16,-0.00,2.974,282.1,56.8,287.7,282.1,-0.0,79.81,0.00,1.000,unknown,running_slope,false
1756425406339,845.019,-235.921,85.310,1.604,8.919,-2.192,9.06,2.19,9.32,9.06,-0.00,2.607,356.8,86.3,367.0,356.8,-0.0,79.81,0.00,1.000,forward,running_slope,false
1756425406368,845.089,-235.532,85.195,1.843,10.250,-2.717,10.41,2.72,10.76,10.41,0.00,2.368,410.0,107.0,423.7,410.0,0.0,79.81,0.00,1.000,forward,running_slope,false
