t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756423432639,837.279,-216.704,78.730,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,106.75,0.000,0.99999994,stall/land,unknown,false
1756423432690,837.193,-216.418,78.615,-0.505,1.677,-0.672,1.75,0.67,1.88,1.75,0.0,69.0,26.4,73.9,69.0,0.00,106.75,0.000,0.99999994,unknown,unknown,false
1756423432741,837.021,-215.846,78.386,-1.365,4.534,-1.816,4.73,1.82,5.07,4.73,0.0,186.4,71.5,199.6,186.4,0.01,106.75,0.000,0.99999994,unknown,unknown,false
1756423432792,836.934,-215.560,78.272,-1.461,4.854,-1.944,5.07,1.94,5.43,5.07,0.0,199.6,76.5,213.7,199.6,0.01,106.75,0.000,0.99999994,unknown,unknown,false
1756423432844,836.848,-215.274,78.157,-1.524,5.061,-2.027,5.28,2.03,5.66,5.28,0.0,208.1,79.8,222.8,208.1,0.01,106.75,0.000,0.99999994,unknown,unknown,false
1756423432894,836.762,-214.988,78.043,-1.577,5.237,-2.097,5.47,2.10,5.86,5.47,0.0,215.3,82.6,230.6,215.3,0.01,106.75,0.000,0.99999994,unknown,unknown,false
1756423432945,836.590,-214.415,77.814,-2.124,7.053,-2.825,7.37,2.82,7.89,7.37,0.0,290.0,111.2,310.6,290.0,0.01,106.75,0.000,0.99999994,neutral,unknown,false
1756423432995,836.504,-214.129,77.699,-1.998,6.635,-2.657,6.93,2.66,7.42,6.93,0.0,272.8,104.6,292.2,272.8,0.01,106.75,0.000,0.99999994,neutral,unknown,false
1756423433046,836.422,-213.842,77.584,-1.885,6.348,-2.539,6.62,2.54,7.09,6.59,0.7,260.7,100.0,279.2,259.3,26.78,100.65,0.000,0.99999994,neutral,unknown,false
1756423433097,836.360,-213.551,77.470,-1.683,6.173,-2.457,6.40,2.46,6.85,6.20,1.6,251.9,96.7,269.8,243.9,62.75,90.83,0.000,1,neutral,unknown,false
1756423433147,836.332,-212.959,77.241,-1.345,7.826,-3.078,7.94,3.08,8.52,7.67,2.1,312.6,121.2,335.3,301.9,81.08,84.72,0.000,1,neutral,unknown,false
1756423433198,836.347,-212.662,77.126,-0.851,7.239,-2.834,7.29,2.83,7.82,7.13,1.5,287.0,111.6,307.9,280.7,59.62,84.72,0.000,1,neutral,glide_neutral,false
1756423433248,836.370,-212.365,77.012,-0.465,6.830,-2.663,6.85,2.66,7.35,6.76,1.1,269.5,104.8,289.2,266.1,42.97,84.72,0.000,1,neutral,glide_neutral,false
1756423433299,836.395,-212.068,76.897,-0.176,6.544,-2.543,6.55,2.54,7.02,6.50,0.8,257.7,100.1,276.5,255.9,30.61,84.72,0.000,1,neutral,glide_neutral,false
1756423433350,836.448,-211.473,76.668,0.195,8.108,-3.139,8.11,3.14,8.70,8.09,0.6,319.3,123.6,342.4,318.6,21.75,84.72,0.000,1,neutral,glide_neutral,false
1756423433400,836.476,-211.176,76.554,0.302,7.438,-2.876,7.44,2.88,7.98,7.41,0.7,293.1,113.2,314.2,291.9,26.12,82.56,0.000,1,neutral,glide_neutral,false
1756423433451,836.507,-210.879,76.439,0.394,6.964,-2.691,6.98,2.69,7.48,6.82,1.5,274.6,105.9,294.4,268.4,58.15,74.54,0.000,1,neutral,glide_neutral,false
