t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756424164758,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,unknown,false
1756424164809,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,unknown,false
1756424164860,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,unknown,false
1756424164911,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,unknown,false
1756424164963,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,unknown,false
1756424165014,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,grounded,false
1756424165064,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,grounded,false
1756424165115,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,grounded,false
1756424165165,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,grounded,false
1756424165216,895.866,-115.031,30.180,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,0.0,0.0,-0.0,0.0,0.0,0.00,68.54,0.000,1,stall/land,grounded,false
