t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,class,state
1756420711344,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,unknown
1756420711395,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,unknown
1756420711446,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,unknown
1756420711497,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,unknown
1756420711548,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,unknown
1756420711599,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711650,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711700,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711751,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711802,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711852,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711903,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420711953,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712004,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712055,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712105,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712156,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712207,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712257,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712308,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712358,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712409,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712460,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712510,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712561,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
1756420712612,892.091,55.935,-189.381,0.000,0.000,0.000,0.00,-0.00,0.00,-0.00,0.0,-0.0,0.0,-0.0,180.00,21.28,0.932,stall/land,grounded
