t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,class,state
1756422712300,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,unknown
1756422712351,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,unknown
1756422712402,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,unknown
1756422712453,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,unknown
1756422712504,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,unknown
1756422712555,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712605,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712656,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712706,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712757,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712808,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712858,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712909,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422712960,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713010,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713060,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713111,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713162,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713212,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713263,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713313,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713364,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713415,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713465,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713516,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713566,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713617,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713668,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
1756422713718,-218.709,34.463,-7.733,0.000,0.000,0.000,0.00,-0.00,-0.00,0.00,0.0,-0.0,-0.0,0.0,-141.72,-41.31,0.751,stall/land,grounded
